Voucher_Number,Date,Amount,Major_Head,Head,Sub_Head,Payment_Type,Session,Details
1,04/04/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Simran Chandiwal
1,14/05/2024,3000,Bus Booking,Other Income,Bus Booking,Cash,2024-2025,Bus Booking Raju Yadav Lalpura
2,13/04/2024,7000,Fees,Fees,Tuition Fee,Cash,2024-2025,Deepak Yadav
2,10/05/2024,5000,Loan,Other Income,Loan,Credit,2024-2025,Loan Kishor Sir Suman Pareekh salary
3,20/06/2024,25000,Loan,Other Income,Loan,Credit,2024-2025,Loan Sidharth Sir Staff salary
3,18/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Tina Piploda
4,23/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Anshuman Kumawat
4,28/06/2024,4664,Loan,Other Income,Loan,Credit,2024-2025,Loan Sidharth Sir Newpapaer teacher adv
5,23/04/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Animesh Sharma
5,16/12/2024,3700,Bus Booking,Other Income,Bus Booking,Cash,2024-2025,Bus Booking Bhinva Ram Yadav
6,23/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Mohit Jajoria
6,02/01/2025,2000,Bus Booking,Other Income,Bus Booking,Cash,2024-2025,Bus booking Bhiva Ran=m Yadav
7,23/04/2024,2000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vaidik Sharma
7,27/01/2025,1650,Other,Other Income,Misc Sale,Cash,2024-2025,Weste Sale
8,06/02/2025,26900,Loan,Other Income,Loan,Credit,2024-2025,Loan Sidharth Sir
8,23/04/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yash Choudhary
9,23/04/2024,1500,Fees,Fees,Tuition Fee,Cash,2024-2025,Aditya Nathawat
10,23/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Manish Jangu
11,23/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Karthik
12,23/04/2024,3000,Fees,Fees,Tuition Fee,Cash,2024-2025,Jaya Choudhary
13,23/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Nishant Achra
14,25/04/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Sumit Dhayal
15,27/04/2024,5000,Fees,Fees,Tuition Fee,Cash,2024-2025,Vikram
16,27/04/2024,6000,Fees,Fees,Tuition Fee,Cash,2024-2025,Khushi Yadav
17,27/04/2024,10000,Fees,Fees,Tuition Fee,Cash,2024-2025,Yuganter Choudhary
18,28/04/2024,3500,Fees,Fees,Tuition Fee,Cash,2024-2025,Akshat Sharma
