Voucher_Number,Date,Amount,Major_Head,Head,Sub_Head,Payment_Type,Session,Details
1,01/04/2025,4000,Fees,Bus Fees,Ridhu Choudhary,Cash,2025-2026,Bus Fees
2,02/04/2025,6000,Fees,Tuition Fees,Sovindh Yadav,Cash,2025-2026,Tution Fees
3,05/04/2025,9000,Fees,Tuition Fees,Amit Khokhar,Cash,2025-2026,Tution Fees
4,08/04/2025,7000,Fees,Tuition Fees,Harsh Vardhan Singh,Cash,2025-2026,Tution Fees
5,08/04/2025,1000,Fees,Tuition Fees,Harsh Vardhan Singh,Cash,2025-2026,Tution Fees
6,18/04/2025,4500,Fees,Tuition Fees,Bittu Yadav,Cash,2025-2026,Tution Fees
7,18/04/2025,3000,Fees,Tuition Fees,Manshi Choudhary,Cash,2025-2026,Tution Fees
8,18/04/2025,5000,Fees,Tuition Fees,Aman Yadav,Cash,2025-2026,Tution Fees
9,22/04/2025,5000,Fees,Tuition Fees,Krishan Sharma,Cash,2025-2026,Tution Fees
10,22/04/2025,5000,Fees,Tuition Fees,Tanisha Verma,Cash,2025-2026,Tution Fees
11,22/04/2025,10000,Fees,Tuition Fees,Yashvin Choudhary,Cash,2025-2026,Tution Fees
12,23/04/2025,10000,Fees,Tuition Fees,Animesh Sharma,Cash,2025-2026,Tution Fees
13,25/04/2025,5000,Fees,Tuition Fees,Nitu Yadav,Cash,2025-2026,Tution Fees
14,30/04/2025,20000,Fees,Tuition Fees,Kusum Khowal,Cash,2025-2026,Tution Fees
15,03/05/2025,18000,Fees,Tuition Fees,Bhiva Ram Taker,Cash,2025-2026,Tution Fees
16,07/05/2025,4500,Fees,Bus Fees,Akshita Choudhary,Cash,2025-2026,Bus Fees
17,12/05/2025,2000,Fees,Tuition Fees,Aditya Nitharwal,Cash,2025-2026,Tution Fees
18,17/05/2025,6000,Fees,Tuition Fees,Shiristi Rebari,Cash,2025-2026,Tution Fees
19,21/05/2025,3000,Fees,Tuition Fees,Nirmal Devashi,Cash,2025-2026,Tution Fees
20,18/06/2025,1500,Fees,Tuition Fees,Amit Golya,Cash,2025-2026,Tution Fees
26,03/07/2025,5000,Fees,Tuition Fees,Vikram Rebari,Cash,2025-2026,Tution Fees
27,05/07/2025,10000,Fees,Tuition Fees,Mohit Singh Jajoria,Cash,2025-2026,Tution Fees
28,09/07/2025,500,Fees,Tuition Fees,Manvi Choudhary,Cash,2025-2026,Tution Fees
29,09/07/2025,19000,Fees,Tuition Fees,Kanika Choudhary,Cash,2025-2026,Tution Fees
30,10/07/2025,10000,Fees,Tuition Fees,Rajpal Choudhary,Cash,2025-2026,Tution Fees
31,12/07/2025,10000,Fees,Tuition Fees,Sunil Dhayal,Cash,2025-2026,Tution Fees
32,12/07/2025,6500,Fees,Tuition Fees,Priyanshi Jangid,Cash,2025-2026,Tution Fees
33,12/07/2025,3000,Fees,Tuition Fees,Mahendra Aichera,Cash,2025-2026,Tution Fees
34,14/07/2025,9000,Fees,Tuition Fees,Amit Khokhar,Cash,2025-2026,Tution Fees
35,16/07/2025,2000,Fees,Tuition Fees,Jaya Choudhary,Cash,2025-2026,Tution Fees
21,18/07/2025,5000,Fees,Tuition Fees,Ganesh Devashi,Cash,2025-2026,Tution Fees
22,21/07/2025,15000,Fees,Tuition Fees,Ganesh Devashi,Cash,2025-2026,Tution Fees
23,28/07/2025,20000,Fees,Tuition Fees,Payal Devashi,Cash,2025-2026,Tution Fees
24,29/07/2025,10000,Fees,Tuition Fees,Ritu Yadav,Cash,2025-2026,Tution Fees
25,30/07/2025,4000,Fees,Tuition Fees,Nirmal Devashi,Cash,2025-2026,Tution Fees
36,01/08/2025,14000,Fees,Tuition Fees,Jayesh Kumar,Cash,2025-2026,Tution Fees
37,01/08/2025,3000,Fees,Tuition Fees,Manshi Choudhary,Cash,2025-2026,Tution Fees
38,02/08/2025,4500,Fees,Tuition Fees,Amit Golya,Cash,2025-2026,Tution Fees
39,08/08/2025,15000,Fees,Tuition Fees,Manshi Choudhary,Cash,2025-2026,Tution Fees
